"","row","column","cor","p"
"1","USCPI_UrbanB8284__Index_8284_","USCPI_UrbanB67__Index_67_",0.999999940049349,0
"2","USCPI_UrbanB8284__Index_8284_","USCPI_FoodBev__Index_8284_",0.998404763450166,0
"3","USCPI_UrbanB67__Index_67_","USCPI_FoodBev__Index_8284_",0.9984052220266,0
"4","USCPI_UrbanB8284__Index_8284_","USCPI_Housing__Index_8284_",0.999282767662032,0
"5","USCPI_UrbanB67__Index_67_","USCPI_Housing__Index_8284_",0.999283184575674,0
"6","USCPI_FoodBev__Index_8284_","USCPI_Housing__Index_8284_",0.997735234388707,0
"7","USCPI_UrbanB8284__Index_8284_","USCPI_Transportation__Index_8284_",0.99636197987947,0
"8","USCPI_UrbanB67__Index_67_","USCPI_Transportation__Index_8284_",0.996362917671406,0
"9","USCPI_FoodBev__Index_8284_","USCPI_Transportation__Index_8284_",0.989909783182221,0
"10","USCPI_Housing__Index_8284_","USCPI_Transportation__Index_8284_",0.989681560133348,0
"11","USCPI_UrbanB8284__Index_8284_","US_Total_Employment__Index_8284_",0.971086194942958,0
"12","USCPI_UrbanB67__Index_67_","US_Total_Employment__Index_8284_",0.971093833238214,0
"13","USCPI_FoodBev__Index_8284_","US_Total_Employment__Index_8284_",0.976514300960693,0
"14","USCPI_Housing__Index_8284_","US_Total_Employment__Index_8284_",0.983130950564409,0
"15","USCPI_Transportation__Index_8284_","US_Total_Employment__Index_8284_",0.970688415216734,0
"16","USCPI_UrbanB8284__Index_8284_","X10Year_Treasury_Rate__Perc_",-0.502875130210668,4.44089209850063e-16
"17","USCPI_UrbanB67__Index_67_","X10Year_Treasury_Rate__Perc_",-0.502900798217858,4.44089209850063e-16
"18","USCPI_FoodBev__Index_8284_","X10Year_Treasury_Rate__Perc_",-0.6757248026476,0
"19","USCPI_Housing__Index_8284_","X10Year_Treasury_Rate__Perc_",-0.662964162683853,0
"20","USCPI_Transportation__Index_8284_","X10Year_Treasury_Rate__Perc_",-0.462431503829423,1.98729921407903e-13
"21","US_Total_Employment__Index_8284_","X10Year_Treasury_Rate__Perc_",-0.423936700384758,2.5723423391355e-11
"22","USCPI_UrbanB8284__Index_8284_","X3Month_Tbill__Perc_",-0.00897822286144962,0.869180621255907
"23","USCPI_UrbanB67__Index_67_","X3Month_Tbill__Perc_",-0.00895885421541676,0.86946031367389
"24","USCPI_FoodBev__Index_8284_","X3Month_Tbill__Perc_",-0.690091749061361,0
"25","USCPI_Housing__Index_8284_","X3Month_Tbill__Perc_",-0.679535104464998,0
"26","USCPI_Transportation__Index_8284_","X3Month_Tbill__Perc_",-0.00238199187030938,0.965616318667601
"27","US_Total_Employment__Index_8284_","X3Month_Tbill__Perc_",0.104927265029285,0.061223994480208
"28","X10Year_Treasury_Rate__Perc_","X3Month_Tbill__Perc_",0.92336505580484,0
"29","USCPI_UrbanB8284__Index_8284_","Federal_funds_effective_rate__Index_8284_",-0.376743631846002,4.32806235295402e-10
"30","USCPI_UrbanB67__Index_67_","Federal_funds_effective_rate__Index_8284_",-0.37678549081466,4.30737001622106e-10
"31","USCPI_FoodBev__Index_8284_","Federal_funds_effective_rate__Index_8284_",-0.674600221294814,0
"32","USCPI_Housing__Index_8284_","Federal_funds_effective_rate__Index_8284_",-0.665466522863072,0
"33","USCPI_Transportation__Index_8284_","Federal_funds_effective_rate__Index_8284_",-0.343423665248942,1.59075002059694e-08
"34","US_Total_Employment__Index_8284_","Federal_funds_effective_rate__Index_8284_",-0.242827287768629,8.39391582170279e-05
"35","X10Year_Treasury_Rate__Perc_","Federal_funds_effective_rate__Index_8284_",0.902940020766572,0
"36","X3Month_Tbill__Perc_","Federal_funds_effective_rate__Index_8284_",0.989373476818404,0
"37","USCPI_UrbanB8284__Index_8284_","Prime_Rate__Perc_",-0.0309879150149088,0.606273369999529
"38","USCPI_UrbanB67__Index_67_","Prime_Rate__Perc_",-0.0310159450573102,0.605947540497741
"39","USCPI_FoodBev__Index_8284_","Prime_Rate__Perc_",-0.516043303053683,1.77635683940025e-15
"40","USCPI_Housing__Index_8284_","Prime_Rate__Perc_",-0.503499522358811,1.06581410364015e-14
